inputDAI,cumulativeDAI,outputFlashSC
100000.0,6600000.0,241254.69135616688894145
100000.0,6700000.0,235940.7113703482079783
100000.0,6800000.0,230800.39086119020353075
100000.0,6900000.0,225826.2445064233841961
100000.0,7000000.0,221011.1859881626132068
100000.0,7100000.0,216348.50273946724707165
100000.0,7200000.0,211831.83253613801354025
100000.0,7300000.0,207455.14178125909267095
100000.0,7400000.0,203212.70534401462965885
100000.0,7500000.0,199099.08782692932512145
100000.0,7600000.0,195109.1261470309331919
100000.0,7700000.0,191237.913326653294374
100000.0,7800000.0,187480.7833988211693753
100000.0,7900000.0,183833.297340478394973
100000.0,8000000.0,180291.2299543420543023
100000.0,8100000.0,176850.55762696899514665
100000.0,8200000.0,173507.44689678060858015
100000.0,8300000.0,170258.24377137281816565
100000.0,8400000.0,167099.46373850861827605
100000.0,8500000.0,164027.78241978606669555
100000.0,8600000.0,161040.0268201543508235
100000.0,8700000.0,158133.16713025985537475
100000.0,8800000.0,155304.30904206188245275
100000.0,8900000.0,152550.6865413162294663
100000.0,9000000.0,149869.6551434020607214
100000.0,9100000.0,147258.6855416004970278
100000.0,9200000.0,144715.3576393276706136
100000.0,9300000.0,142237.354940024145165
100000.0,9400000.0,139822.4592704142503118
100000.0,9500000.0,137468.5458146833425138
100000.0,9600000.0,135173.5784388121560792
100000.0,9700000.0,132935.60528585162436975
100000.0,9800000.0,130752.7546243435072374
100000.0,9900000.0,128623.23093339325046805
100000.0,10000000.0,126545.31120910584396855
100000.0,10100000.0,124517.3414781906303603
100000.0,10200000.0,122537.7335055642663258
100000.0,10300000.0,120604.96168371018970875
100000.0,10400000.0,118717.5600924155986689
100000.0,10500000.0,116874.11971830993610485
100000.0,10600000.0,115073.2858243451480361
100000.0,10700000.0,113313.7554600585070719
100000.0,10800000.0,111594.27510406368102
100000.0,10900000.0,109913.63843080974183285
100000.0,11000000.0,108270.68419417574610195
100000.0,11100000.0,106664.29422096843342675
100000.0,11200000.0,105093.3915078467301609
100000.0,11300000.0,103556.93841562667861445
100000.0,11400000.0,102053.93495531284376235
100000.0,11500000.0,100583.41716056763643605
100000.0,11600000.0,99144.4555416754436361
100000.0,11700000.0,97736.1536163675229203
100000.0,11800000.0,96357.64651317473791395
100000.0,11900000.0,95008.0996432424560704
100000.0,12000000.0,93686.70743679941537025
100000.0,12100000.0,92392.69214071103220195
100000.0,12200000.0,91125.30267376035843525
100000.0,12300000.0,89883.81353651569843155
100000.0,12400000.0,88667.5237728279145692
100000.0,12500000.0,87475.7559801825159915
100000.0,12600000.0,86307.8553662948714091
100000.0,12700000.0,85163.18884950041172735
100000.0,12800000.0,84041.14420062691349565
100000.0,12900000.0,82941.12922417898621955
100000.0,13000000.0,81862.5709767904926888
100000.0,13100000.0,80804.91502101787314
100000.0,13200000.0,79767.6247126608217368
100000.0,13300000.0,78750.18051989727662205
100000.0,13400000.0,77752.079372623682754
100000.0,13500000.0,76772.83404047457357885
100000.0,13600000.0,75811.9725380907328803
100000.0,13700000.0,74869.03755627378661215
100000.0,13800000.0,73943.58591775359825075
100000.0,13900000.0,73035.1880563561804821
100000.0,14000000.0,72143.42751842744865165
100000.0,14100000.0,71267.90048543700868515
100000.0,14200000.0,70408.2153167344071666
100000.0,14300000.0,69563.99211149774446515
100000.0,14400000.0,68734.862288953028259
100000.0,14500000.0,67920.46818600342645255
100000.0,14600000.0,67120.4626714450790871
100000.0,14700000.0,66334.5087759949214529
100000.0,14800000.0,65562.27933739193773245
100000.0,14900000.0,64803.4566598757837772
100000.0,15000000.0,64057.7321873801754078
100000.0,15100000.0,63324.8061898128722682
100000.0,15200000.0,62604.3874618286603115
100000.0,15300000.0,61896.19303352738696625
100000.0,15400000.0,61199.9478925428396348
100000.0,15500000.0,60515.38471701098158965
100000.0,15600000.0,59842.24361893533489825
100000.0,15700000.0,59180.2718974868170497
100000.0,15800000.0,58529.22380180503174365
100000.0,15900000.0,57888.86030287930630515
100000.0,16000000.0,57258.94887412108656975
100000.0,16100000.0,56639.2632802452946035
100000.0,16200000.0,56029.58337410711196465
100000.0,16300000.0,55429.6949011508279577
100000.0,16400000.0,54839.3893111492793001
100000.0,16500000.0,54258.4635769210508838
100000.0,16600000.0,53686.7200197353307282
100000.0,16700000.0,53123.9661411217008159
100000.0,16800000.0,52570.01446081803795195
100000.0,16900000.0,52024.68236060210605035
100000.0,17000000.0,51487.79193376413147735
100000.0,17100000.0,50959.1698399882480473
100000.0,17200000.0,50438.64716542254790005
100000.0,17300000.0,49926.05928772514189865
